,Date,Prediction,Actual,Signal,Current
216,2019-08-29,2763.6111903896485,2887.939941,0,1000
217,2019-08-30,2802.3628615083007,2924.580078,0,1000
218,2019-09-03,2802.1035156875,2926.459961,0,1000
219,2019-09-04,2782.049950114746,2906.27002,0,1000
220,2019-09-05,2816.654067696289,2937.780029,0,1000
221,2019-09-06,2854.161231994629,2976.0,0,1000
222,2019-09-09,2856.556053224121,2978.709961,0,1000
223,2019-09-10,2851.374855400879,2978.429932,0,1000
224,2019-09-11,2862.8510364936524,2979.389893,0,1000
225,2019-09-12,2888.5482791679688,3000.929932,0,1000
226,2019-09-13,2891.3298870307617,3009.570068,0,1000
227,2019-09-16,2900.607651178711,3007.389893,0,1000
228,2019-09-17,2900.564971986328,2997.959961,0,1000
229,2019-09-18,2911.7112882802735,3005.699951,0,1000
230,2019-09-19,2901.7195582470704,3006.72998,0,1000
231,2019-09-20,2897.703254637207,3006.790039,0,1000
232,2019-09-23,2881.4463497382812,2992.070068,0,1000
233,2019-09-24,2873.624313057617,2991.780029,0,1000
234,2019-09-25,2857.6889346699218,2966.600098,0,1000
235,2019-09-26,2884.350684932129,2984.870117,0,1000
236,2019-09-27,2878.97176342334,2977.620117,0,1000
237,2019-09-30,2862.1366423935547,2961.790039,0,1000
238,2019-10-01,2883.1936795751953,2976.73999,0,1000
239,2019-10-02,2850.005744934082,2940.25,0,1000
240,2019-10-03,2797.4372020317383,2887.610107,0,1000
241,2019-10-04,2820.2470628706055,2910.629883,0,1000
242,2019-10-07,2857.3507921655273,2952.01001,0,1000
243,2019-10-08,2840.900031980957,2938.790039,0,1000
244,2019-10-09,2797.1020054111327,2893.060059,0,1000
245,2019-10-10,2827.448798789551,2919.399902,0,1000
246,2019-10-11,2843.960418888672,2938.129883,0,1000
247,2019-10-14,2872.9845127978515,2970.27002,0,1000
248,2019-10-15,2868.87020076709,2966.149902,0,1000
249,2019-10-16,2899.773666741211,2995.679932,0,1000
250,2019-10-17,2893.8658595791017,2989.689941,0,1000
251,2019-10-18,2905.7704542348633,2997.949951,0,1000
252,2019-10-21,2898.477233714844,2986.199951,0,1000
253,2019-10-22,2921.9112094033203,3006.719971,0,1000
254,2019-10-23,2911.2258832495118,2995.98999,0,1000
255,2019-10-24,2919.4371189990234,3004.52002,0,1000
256,2019-10-25,2926.900619444336,3010.290039,0,1000
257,2019-10-28,2936.1040422250976,3022.550049,0,1000
258,2019-10-29,2950.3152390776368,3039.419922,0,1000
259,2019-10-30,2950.0359501289063,3036.889893,0,1000
260,2019-10-31,2955.916649333496,3046.77002,0,1000
261,2019-11-01,2942.582809854492,3037.560059,0,1000
262,2019-11-04,2957.335143933594,3066.909912,0,1000
263,2019-11-05,2958.8140339770507,3078.27002,0,1000
264,2019-11-06,2952.2311780961913,3074.620117,0,1000
265,2019-11-07,2953.584258736328,3076.780029,0,1000
266,2019-11-08,2961.454201104004,3085.179932,0,1000
267,2019-11-11,2969.3019407929687,3093.080078,0,1000
268,2019-11-12,2964.973907705078,3087.01001,0,1000
269,2019-11-13,2975.460189928711,3091.840088,0,1000
270,2019-11-14,2980.238639769043,3094.040039,0,1000
271,2019-11-15,2985.3523866621094,3096.629883,0,1000
272,2019-11-18,3008.330894532715,3120.459961,0,1000
273,2019-11-19,3009.5898816000977,3122.030029,0,1000
274,2019-11-20,3007.6884387749024,3120.179932,0,1000
275,2019-11-21,2996.55313879541,3108.459961,0,1000
276,2019-11-22,2991.3722915024414,3103.540039,0,1000
277,2019-11-25,2998.719497618164,3110.290039,0,1000
278,2019-11-26,3021.282341425293,3133.639893,0,1000
279,2019-11-27,3031.641144267578,3140.52002,0,1000
280,2019-11-29,3041.175277897461,3153.629883,0,1000
281,2019-12-02,3025.9497065625,3140.97998,0,1000
282,2019-12-03,3000.1599500688476,3113.870117,0,1000
283,2019-12-04,2979.0511930654297,3093.199951,0,1000
284,2019-12-05,2997.1834566552734,3112.76001,0,1000
285,2019-12-06,3008.7078174370117,3117.429932,0,1000
286,2019-12-09,3038.328987012207,3145.909912,0,1000
287,2019-12-10,3031.075210633789,3135.959961,0,1000
288,2019-12-11,3030.6220936694335,3132.52002,0,1000
